Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
189323,26:59.0,GPS,170185232,0,6,156437000,2401,10,1.21,-35.3629127,149.1661092,634.09,3.444,176.4372,-0.002,0,1
189679,26:59.2,GPS,170385152,0,6,156437200,2401,10,1.21,-35.3629191,149.1661097,634.09,3.65,176.4669,-0.004,0,1
190040,26:59.4,GPS,170585072,0,6,156437400,2401,10,1.21,-35.3629258,149.1661102,634.09,3.827,176.5222,-0.004,0,1
190398,26:59.6,GPS,170784992,0,6,156437600,2401,10,1.21,-35.3629328,149.1661107,634.1,3.978,176.5992,-0.003,0,1
190753,26:59.8,GPS,170984912,0,6,156437800,2401,10,1.21,-35.36294,149.1661113,634.1,4.107,176.6944,-0.002,0,1
191111,27:00.0,GPS,171184832,0,6,156438000,2401,10,1.21,-35.3629475,149.1661118,634.1,4.217,176.7985,0.0,0,1
191190,27:00.1,GPS,171244808,1,1,0,0,0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
191469,27:00.2,GPS,171384752,0,6,156438200,2401,10,1.21,-35.3629552,149.1661123,634.1,4.311,176.9072,0.001,0,1
191830,27:00.4,GPS,171584672,0,6,156438400,2401,10,1.21,-35.362963,149.1661128,634.1,4.391,177.0198,0.001,0,1
192187,27:00.6,GPS,171784592,0,6,156438600,2401,10,1.21,-35.362971,149.1661133,634.1,4.458,177.1337,0.002,0,1
192542,27:00.8,GPS,171985345,0,6,156438800,2401,10,1.21,-35.362979,149.1661138,634.1,4.514,177.2463,0.002,0,1
192900,27:01.0,GPS,172185265,0,6,156439000,2401,10,1.21,-35.3629871,149.1661143,634.09,4.553,177.355,0.001,0,1
193256,27:01.2,GPS,172385185,0,6,156439200,2401,10,1.21,-35.3629952,149.1661147,634.09,4.562,177.4602,-0.001,0,1
193620,27:01.4,GPS,172585105,0,6,156439400,2401,10,1.21,-35.3630035,149.1661151,634.09,4.53,177.5635,-0.003,0,1
193978,27:01.6,GPS,172785025,0,6,156439600,2401,10,1.21,-35.3630115,149.1661156,634.1,4.455,177.6411,-0.007,0,1
194333,27:01.8,GPS,172984945,0,6,156439800,2401,10,1.21,-35.3630194,149.166116,634.1,4.33,177.5876,-0.012,0,1
194691,27:02.0,GPS,173184865,0,6,156440000,2401,10,1.21,-35.363027,149.1661164,634.1,4.147,177.2515,-0.022,0,1
195048,27:02.2,GPS,173384785,0,6,156440200,2401,10,1.21,-35.3630342,149.1661168,634.1,3.903,176.5206,-0.036,0,1
195409,27:02.4,GPS,173584705,0,6,156440400,2401,10,1.21,-35.363041,149.1661174,634.11,3.604,175.2961,-0.053,0,1
195767,27:02.6,GPS,173784625,0,6,156440600,2401,10,1.21,-35.3630471,149.1661182,634.13,3.255,173.4031,-0.075,0,1
196122,27:02.8,GPS,173985378,0,6,156440800,2401,10,1.21,-35.3630526,149.1661191,634.15,2.859,170.4969,-0.103,0,1
196480,27:03.0,GPS,174185298,0,6,156441000,2401,10,1.21,-35.3630572,149.1661203,634.17,2.426,165.8939,-0.137,0,1
196836,27:03.2,GPS,174385218,0,6,156441200,2401,10,1.21,-35.363061,149.1661217,634.19,1.984,158.1754,-0.178,0,1
197197,27:03.4,GPS,174585138,0,6,156441400,2401,10,1.21,-35.3630639,149.1661236,634.24,1.595,144.5615,-0.228,0,1
197557,27:03.6,GPS,174785058,0,6,156441600,2401,10,1.21,-35.3630657,149.1661259,634.29,1.376,122.1188,-0.288,0,1
197912,27:03.8,GPS,174984978,0,6,156441800,2401,10,1.21,-35.3630665,149.1661288,634.35,1.459,95.3898,-0.358,0,1
198269,27:04.0,GPS,175184898,0,6,156442000,2401,10,1.21,-35.3630662,149.1661322,634.43,1.829,74.6925,-0.436,0,1
198423,27:04.1,GPS,175264866,1,1,0,0,0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
198627,27:04.2,GPS,175384818,0,6,156442200,2401,10,1.21,-35.3630648,149.1661365,634.53,2.359,61.7488,-0.5190001,0,1
198988,27:04.4,GPS,175584738,0,6,156442400,2401,10,1.21,-35.3630622,149.1661414,634.65,2.951,53.85667,-0.604,0,1
199345,27:04.6,GPS,175784658,0,6,156442600,2401,10,1.21,-35.3630586,149.166147,634.77,3.542,48.92416,-0.6850001,0,1
199701,27:04.8,GPS,175984578,0,6,156442800,2401,10,1.21,-35.3630539,149.1661532,634.92,4.101,45.74773,-0.761,0,1
200058,27:05.0,GPS,176185331,0,6,156443000,2401,10,1.21,-35.3630483,149.16616,635.07,4.62,43.68559,-0.831,0,1
200416,27:05.2,GPS,176385251,0,6,156443200,2401,10,1.21,-35.3630419,149.1661672,635.25,5.103,42.39658,-0.897,0,1
200778,27:05.4,GPS,176585171,0,6,156443400,2401,10,1.21,-35.3630348,149.1661751,635.43,5.556,41.67572,-0.961,0,1
201135,27:05.6,GPS,176785091,0,6,156443600,2401,10,1.21,-35.363027,149.1661835,635.63,5.973,41.37344,-1.024,0,1
201491,27:05.8,GPS,176985011,0,6,156443800,2401,10,1.21,-35.3630188,149.1661925,635.85,6.342,41.32299,-1.084,0,1
201849,27:06.0,GPS,177184931,0,6,156444000,2401,10,1.21,-35.36301,149.1662019,636.07,6.668,41.35694,-1.139,0,1
