,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
42976,25:37.4,GPS,88585385,0,6,156355400,2401,10,1.21,-35.3632619,149.1652355,594.12,0.418,266.5138,-0.178,0,1
43331,25:37.6,GPS,88785305,0,6,156355600,2401,10,1.21,-35.3632619,149.1652344,594.16,0.591,266.4962,-0.247,0,1
43689,25:37.8,GPS,88985225,0,6,156355800,2401,10,1.21,-35.363262,149.1652328,594.22,0.79,266.2941,-0.327,0,1
44045,25:38.0,GPS,89185145,0,6,156356000,2401,10,1.21,-35.3632621,149.1652308,594.29,1.013,266.0195,-0.419,0,1
44401,25:38.2,GPS,89385065,0,6,156356200,2401,10,1.21,-35.3632623,149.1652284,594.39,1.258,265.9229,-0.523,0,1
44761,25:38.4,GPS,89584985,0,6,156356400,2401,10,1.21,-35.3632624,149.1652254,594.5,1.53,266.17,-0.64,0,1
45116,25:38.6,GPS,89784905,0,6,156356600,2401,10,1.21,-35.3632626,149.1652217,594.64,1.841,266.6729,-0.7690001,0,1
45474,25:38.8,GPS,89984825,0,6,156356800,2401,10,1.21,-35.3632628,149.1652172,594.81,2.194,267.0955,-0.91,0,1
45831,25:39.0,GPS,90184745,0,6,156357000,2401,10,1.21,-35.363263,149.165212,595.01,2.565,267.2521,-1.057,0,1
46187,25:39.2,GPS,90384665,0,6,156357200,2401,10,1.21,-35.3632633,149.1652059,595.24,2.921,267.2475,-1.204,0,1
46548,25:39.4,GPS,90584585,0,6,156357400,2401,10,1.21,-35.3632635,149.1651991,595.49,3.24,267.2289,-1.342,0,1
46903,25:39.6,GPS,90785338,0,6,156357600,2401,10,1.21,-35.3632638,149.1651916,595.77,3.518,267.2292,-1.465,0,1
47058,25:39.7,GPS,90865306,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
47262,25:39.8,GPS,90985258,0,6,156357800,2401,10,1.21,-35.3632641,149.1651837,596.07,3.76,267.2216,-1.573,0,1
47618,25:40.0,GPS,91185178,0,6,156358000,2401,10,1.21,-35.3632645,149.1651752,596.4,3.974,267.1937,-1.665,0,1
47975,25:40.2,GPS,91385098,0,6,156358200,2401,10,1.21,-35.3632648,149.1651662,596.74,4.164,267.1551,-1.745,0,1
48342,25:40.4,GPS,91585018,0,6,156358400,2401,10,1.21,-35.3632652,149.1651569,597.1,4.332,267.1184,-1.81,0,1
48697,25:40.6,GPS,91784938,0,6,156358600,2401,10,1.21,-35.3632656,149.1651471,597.46,4.475,267.085,-1.862,0,1
49055,25:40.8,GPS,91984858,0,6,156358800,2401,10,1.21,-35.363266,149.1651372,597.84,4.593,267.0554,-1.9,0,1
49411,25:41.0,GPS,92184778,0,6,156359000,2401,10,1.21,-35.3632664,149.1651269,598.22,4.684,267.0354,-1.925,0,1
49766,25:41.2,GPS,92384698,0,6,156359200,2401,10,1.21,-35.3632669,149.1651165,598.61,4.745,267.025,-1.938,0,1
50129,25:41.4,GPS,92584618,0,6,156359400,2401,10,1.21,-35.3632674,149.1651061,599,4.779,267.0201,-1.939,0,1
50484,25:41.6,GPS,92785371,0,6,156359600,2401,10,1.21,-35.3632678,149.1650956,599.38,4.798,267.0164,-1.933,0,1
50841,25:41.8,GPS,92985291,0,6,156359800,2401,10,1.21,-35.3632682,149.165085,599.77,4.808,267.0143,-1.922,0,1
51197,25:42.0,GPS,93185211,0,6,156360000,2401,10,1.21,-35.3632687,149.1650744,600.16,4.798,267.0207,-1.904,0,1
51553,25:42.2,GPS,93385131,0,6,156360200,2401,10,1.21,-35.3632691,149.1650639,600.53,4.752,267.0489,-1.875,0,1
51914,25:42.4,GPS,93585051,0,6,156360400,2401,10,1.21,-35.3632695,149.1650535,600.9,4.668,267.2275,-1.835,0,1
52269,25:42.6,GPS,93784971,0,6,156360600,2401,10,1.21,-35.3632699,149.1650434,601.27,4.549,267.8036,-1.783,0,1
52628,25:42.8,GPS,93984891,0,6,156360800,2401,10,1.21,-35.3632702,149.1650335,601.62,4.399,268.9583,-1.719,0,1
52984,25:43.0,GPS,94184811,0,6,156361000,2401,10,1.21,-35.3632702,149.165024,601.95,4.22,270.7811,-1.642,0,1
53339,25:43.2,GPS,94384731,0,6,156361200,2401,10,1.21,-35.36327,149.1650149,602.27,4.019,273.3609,-1.553,0,1
53701,25:43.4,GPS,94584651,0,6,156361400,2401,10,1.21,-35.3632694,149.1650063,602.57,3.801,276.8427,-1.453,0,1
54056,25:43.6,GPS,94785404,0,6,156361600,2401,10,1.21,-35.3632683,149.1649983,602.85,3.574,281.4436,-1.341,0,1
54235,25:43.7,GPS,94885364,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
54415,25:43.8,GPS,94985324,0,6,156361800,2401,10,1.21,-35.3632669,149.1649909,603.11,3.352,287.428,-1.218,0,1
54771,25:44.0,GPS,95185244,0,6,156362000,2401,10,1.21,-35.3632647,149.1649843,603.33,3.157,295.0478,-1.086,0,1
55131,25:44.2,GPS,95385164,0,6,156362200,2401,10,1.21,-35.363262,149.1649784,603.54,3.029,304.2864,-0.9540001,0,1
55492,25:44.4,GPS,95585084,0,6,156362400,2401,10,1.21,-35.3632585,149.1649732,603.72,3.013,314.5106,-0.831,0,1
55847,25:44.6,GPS,95785004,0,6,156362600,2401,10,1.21,-35.3632544,149.1649689,603.88,3.137,324.5151,-0.726,0,1
56205,25:44.8,GPS,95984924,0,6,156362800,2401,10,1.21,-35.3632494,149.1649651,604.01,3.4,333.1859,-0.641,0,1
56562,25:45.0,GPS,96184844,0,6,156363000,2401,10,1.21,-35.3632434,149.1649621,604.13,3.769,340.0247,-0.574,0,1
56916,25:45.2,GPS,96384764,0,6,156363200,2401,10,1.21,-35.3632366,149.1649595,604.24,4.203,345.1198,-0.524,0,1
57279,25:45.4,GPS,96584684,0,6,156363400,2401,10,1.21,-35.3632288,149.1649573,604.35,4.669,348.7968,-0.489,0,1
57636,25:45.6,GPS,96784604,0,6,156363600,2401,10,1.21,-35.3632202,149.1649555,604.44,5.15,351.3867,-0.468,0,1
57992,25:45.8,GPS,96985357,0,6,156363800,2401,10,1.21,-35.3632106,149.1649539,604.53,5.635,353.1565,-0.46,0,1
58349,25:46.0,GPS,97185277,0,6,156364000,2401,10,1.21,-35.3632001,149.1649524,604.62,6.119,354.2919,-0.466,0,1
58704,25:46.2,GPS,97385197,0,6,156364200,2401,10,1.21,-35.3631886,149.1649512,604.72,6.599,354.9285,-0.485,0,1
59067,25:46.4,GPS,97585117,0,6,156364400,2401,10,1.21,-35.3631764,149.1649499,604.82,7.071,355.1771,-0.517,0,1
59422,25:46.6,GPS,97785037,0,6,156364600,2401,10,1.21,-35.3631634,149.1649486,604.93,7.515,355.192,-0.555,0,1
59779,25:46.8,GPS,97984957,0,6,156364800,2401,10,1.21,-35.3631496,149.1649471,605.04,7.913001,355.1461,-0.5930001,0,1
60136,25:47.0,GPS,98184877,0,6,156365000,2401,10,1.21,-35.363135,149.1649456,605.16,8.265,355.1202,-0.625,0,1
60491,25:47.2,GPS,98384797,0,6,156365200,2401,10,1.21,-35.3631199,149.164944,605.29,8.578,355.1166,-0.652,0,1
60854,25:47.4,GPS,98584717,0,6,156365400,2401,10,1.21,-35.3631044,149.1649423,605.43,8.857,355.1245,-0.674,0,1
61209,25:47.6,GPS,98784637,0,6,156365600,2401,10,1.21,-35.3630883,149.1649407,605.56,9.102,355.1341,-0.691,0,1
61416,25:47.7,GPS,98904589,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
61568,25:47.8,GPS,98985390,0,6,156365800,2401,10,1.21,-35.3630718,149.164939,605.7,9.316,355.1385,-0.706,0,1
61926,25:48.0,GPS,99185310,0,6,156366000,2401,10,1.21,-35.3630549,149.1649372,605.85,9.497001,355.1346,-0.717,0,1
62281,25:48.2,GPS,99385230,0,6,156366200,2401,10,1.21,-35.3630378,149.1649354,605.99,9.645,355.1223,-0.725,0,1
62644,25:48.4,GPS,99585150,0,6,156366400,2401,10,1.21,-35.3630205,149.1649336,606.13,9.759001,355.1027,-0.73,0,1
62999,25:48.6,GPS,99785070,0,6,156366600,2401,10,1.21,-35.3630029,149.1649317,606.28,9.841001,355.0792,-0.733,0,1
63356,25:48.8,GPS,99984990,0,6,156366800,2401,10,1.21,-35.3629852,149.1649299,606.43,9.888,355.0536,-0.734,0,1
63713,25:49.0,GPS,100184910,0,6,156367000,2401,10,1.21,-35.3629675,149.164928,606.57,9.908001,355.0257,-0.7320001,0,1
64068,25:49.2,GPS,100384830,0,6,156367200,2401,10,1.21,-35.3629497,149.1649261,606.72,9.921,354.9968,-0.728,0,1
64430,25:49.4,GPS,100584750,0,6,156367400,2401,10,1.21,-35.362932,149.1649242,606.87,9.938001,354.964,-0.726,0,1
64786,25:49.6,GPS,100784670,0,6,156367600,2401,10,1.21,-35.3629142,149.1649223,607.01,9.96,354.9243,-0.725,0,1
65143,25:49.8,GPS,100984590,0,6,156367800,2401,10,1.21,-35.3628963,149.1649203,607.16,9.982,354.8801,-0.725,0,1
65500,25:50.0,GPS,101185343,0,6,156368000,2401,10,1.21,-35.3628784,149.1649184,607.3,10.003,354.8354,-0.726,0,1
65855,25:50.2,GPS,101385263,0,6,156368200,2401,10,1.21,-35.3628605,149.1649163,607.45,10.017,354.7954,-0.726,0,1
66217,25:50.4,GPS,101585183,0,6,156368400,2401,10,1.21,-35.3628426,149.1649143,607.59,10.027,354.7621,-0.726,0,1
66575,25:50.6,GPS,101785103,0,6,156368600,2401,10,1.21,-35.3628247,149.1649123,607.74,10.033,354.7332,-0.7270001,0,1
66932,25:50.8,GPS,101985023,0,6,156368800,2401,10,1.21,-35.3628068,149.1649103,607.88,10.036,354.7088,-0.7270001,0,1
67290,25:51.0,GPS,102184943,0,6,156369000,2401,10,1.21,-35.3627888,149.1649082,608.03,10.036,354.6888,-0.7270001,0,1
67645,25:51.2,GPS,102384863,0,6,156369200,2401,10,1.21,-35.3627709,149.1649062,608.17,10.033,354.6707,-0.7270001,0,1
68008,25:51.4,GPS,102584783,0,6,156369400,2401,10,1.21,-35.3627528,149.1649041,608.32,10.03,354.6528,-0.7270001,0,1
68364,25:51.6,GPS,102784703,0,6,156369600,2401,10,1.21,-35.3627349,149.1649021,608.47,10.027,354.6357,-0.726,0,1
68595,25:51.7,GPS,102924647,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
68723,25:51.8,GPS,102984623,0,6,156369800,2401,10,1.21,-35.362717,149.1649,608.61,10.024,354.6196,-0.726,0,1
69080,25:52.0,GPS,103185376,0,6,156370000,2401,10,1.21,-35.3626991,149.1648979,608.76,10.021,354.6046,-0.726,0,1
69435,25:52.2,GPS,103385296,0,6,156370200,2401,10,1.21,-35.3626811,149.1648958,608.9,10.016,354.5898,-0.726,0,1
69797,25:52.4,GPS,103585216,0,6,156370400,2401,10,1.21,-35.3626632,149.1648937,609.05,10.014,354.5759,-0.725,0,1
70153,25:52.6,GPS,103785136,0,6,156370600,2401,10,1.21,-35.3626453,149.1648917,609.19,10.016,354.5647,-0.725,0,1
70510,25:52.8,GPS,103985056,0,6,156370800,2401,10,1.21,-35.3626274,149.1648896,609.33,10.021,354.5558,-0.725,0,1
70867,25:53.0,GPS,104184976,0,6,156371000,2401,10,1.21,-35.3626095,149.1648875,609.48,10.027,354.5484,-0.724,0,1
71222,25:53.2,GPS,104384896,0,6,156371200,2401,10,1.21,-35.3625916,149.1648854,609.63,10.033,354.5415,-0.723,0,1
