,Timestamp,,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
7397,25:17.6,IMU,68764983,1,0.000939483,0.000766344,0.000851152,0.002829931,-0.002700337,-9.8183,0,0,28.99504,1,1,760,800
7451,25:17.6,IMU,68804967,0,0.000951114,0.000911333,0.001014656,-0.001171615,-0.002086049,-9.817226,0,0,28.99717,1,1,1000,1000
7452,25:17.6,IMU,68804967,1,0.001030752,0.001071242,0.001018257,0.001472393,0.000519928,-9.817773,0,0,28.99717,1,1,760,800
7545,25:17.7,IMU,68844951,0,0.000957586,0.001015413,0.000962207,-0.001925687,-0.000863733,-9.817864,0,0,28.9993,1,1,1000,1000
7546,25:17.7,IMU,68844951,1,0.000865841,0.000779769,0.000884538,0.00137273,-0.001532464,-9.815754,0,0,28.9993,1,1,760,800
7597,25:17.7,IMU,68884935,0,0.0009121,0.000993234,0.00095045,-0.001364607,0.000162219,-9.817079,0,0,29.00144,1,1,1000,1000
7598,25:17.7,IMU,68884935,1,0.001006877,0.000752161,0.000959037,-0.000792489,-0.002786511,-9.815442,0,0,29.00144,1,1,760,800
7650,25:17.7,IMU,68924919,0,0.000883923,0.000920299,0.000957828,-0.000549204,-0.000651195,-9.818068,0,0,29.00357,1,1,1000,1000
7651,25:17.7,IMU,68924919,1,0.000996963,0.000838877,0.001027034,-0.004064289,-0.002022336,-9.817085,0,0,29.00357,1,1,760,800
7745,25:17.8,IMU,68964903,0,0.000947409,0.001016367,0.000974529,-0.001148282,-0.000648736,-9.81718,0,0,29.0057,1,1,1000,1000
7746,25:17.8,IMU,68964903,1,0.000899796,0.00100175,0.000658531,-0.002159294,-0.002562975,-9.817184,0,0,29.0057,1,1,760,800
7800,25:17.8,IMU,69004887,0,0.000942887,0.000941772,0.001010671,-0.001968791,-0.000250438,-9.818312,0,0,29.00784,1,1,1000,1000
7801,25:17.8,IMU,69004887,1,0.000771201,0.000743132,0.001087815,-0.000854462,-0.000712518,-9.81815,0,0,29.00784,1,1,760,800
7896,25:17.9,IMU,69044871,0,0.000891833,0.001057404,0.001011818,-0.001459212,-0.001321636,-9.817832,0,0,29.00997,1,1,1000,1000
7897,25:17.9,IMU,69044871,1,0.001113371,0.001010595,0.00088834,0.001599326,-0.001663845,-9.818269,0,0,29.00997,1,1,760,800
7948,25:17.9,IMU,69084855,0,0.000997837,0.000977585,0.000968074,-0.002225856,-0.001680059,-9.817226,0,0,29.0121,1,1,1000,1000
7949,25:17.9,IMU,69084855,1,0.000860337,0.00102341,0.000877872,-0.001177655,-0.000720329,-9.815767,0,0,29.0121,1,1,760,800
8002,25:17.9,IMU,69124839,0,0.000933177,0.001075126,0.001005844,-0.002030285,-0.000696252,-9.817484,0,0,29.01423,1,1,1000,1000
8003,25:17.9,IMU,69124839,1,0.001018399,0.00106347,0.001025453,0.00023797,-0.000789085,-9.818234,0,0,29.01423,1,1,760,800
8097,25:18.0,IMU,69164823,0,0.000993128,0.000982269,0.001020879,-0.000895548,-0.001320438,-9.817312,0,0,29.01636,1,1,1000,1000
8098,25:18.0,IMU,69164823,1,0.000924665,0.000924519,0.001150163,-0.000107505,2.413101E-05,-9.817178,0,0,29.01636,1,1,760,800
8152,25:18.0,IMU,69204807,0,0.000955104,0.0010055,0.001014023,-0.000454575,-0.000173749,-9.818657,0,0,29.01849,1,1,1000,1000
8153,25:18.0,IMU,69204807,1,0.001073378,0.001051375,0.001264929,-0.002692455,-0.000413661,-9.818464,0,0,29.01849,1,1,760,800
8246,25:18.1,IMU,69244791,0,0.001029837,0.001033722,0.000964443,-0.000538052,-0.000589575,-9.81719,0,0,29.02062,1,1,1000,1000
8247,25:18.1,IMU,69244791,1,0.000987353,0.000944241,0.00089879,-0.001901163,0.000665421,-9.817984,0,0,29.02062,1,1,760,800
8298,25:18.1,IMU,69284775,0,0.000981523,0.000984239,0.000963131,-0.00126163,-0.001472455,-9.817929,0,0,29.02275,1,1,1000,1000
