,Timestamp,,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
5725,55:22.8,IMU,47005357,0,0.0006086,0.000606146,0.000656202,0.000266877,-0.00056216,-9.816912,0,0,27.79106,1,1,1000,1000
5726,55:22.8,IMU,47005357,1,0.000671042,0.000565775,0.000688725,-0.001642374,-0.00255568,-9.818342,0,0,27.791,1,1,760,800
5820,55:22.8,IMU,47045341,0,0.000574929,0.000670087,0.000583615,-9.59E-05,-0.001280881,-9.817795,0,0,27.79336,1,1,1000,1000
5821,55:22.8,IMU,47045341,1,0.000620278,0.000702495,0.000486702,-0.001638172,-0.001490075,-9.818308,0,0,27.7933,1,1,760,800
5872,55:22.9,IMU,47085325,0,0.000589824,0.000690793,0.000617701,-0.001711777,-0.001726344,-9.818386,0,0,27.79565,1,1,1000,1000
5873,55:22.9,IMU,47085325,1,0.000724791,0.000245405,0.000512659,4.499176E-05,0.001336104,-9.81269,0,0,27.79559,1,1,760,800
5925,55:22.9,IMU,47125309,0,0.000707566,0.000725969,0.000673436,-0.001164739,-0.001112267,-9.816978,0,0,27.79794,1,1,1000,1000
5926,55:22.9,IMU,47125309,1,0.000534246,0.000862298,0.000777629,-0.002054304,-0.000972989,-9.818963,0,0,27.79789,1,1,760,800
6019,55:23.0,IMU,47165293,0,0.000687585,0.000672462,0.000603868,-0.001598696,-0.00108459,-9.818316,0,0,27.80024,1,1,1000,1000
6020,55:23.0,IMU,47165293,1,0.000724074,0.000713727,0.000872313,-0.001193048,-0.002431042,-9.81967,0,0,27.80018,1,1,760,800
6074,55:23.0,IMU,47205277,0,0.000609001,0.000666318,0.000642452,-0.001632985,-0.00138454,-9.816453,0,0,27.80253,1,1,1000,1000
6075,55:23.0,IMU,47205277,1,0.0008302,0.000345163,0.000817786,-0.001238856,0.000142475,-9.817791,0,0,27.80247,1,1,760,800
6168,55:23.0,IMU,47245261,0,0.000646154,0.000584203,0.000677025,0.000229213,-0.001958951,-9.819097,0,0,27.80482,1,1,1000,1000
6169,55:23.0,IMU,47245261,1,0.000707759,0.000431537,0.000697638,-0.00095496,-0.001321838,-9.819464,0,0,27.80477,1,1,760,800
6219,55:23.1,IMU,47285245,0,0.000594995,0.000624714,0.000686942,-0.000789178,-0.000235739,-9.816826,0,0,27.80712,1,1,1000,1000
6220,55:23.1,IMU,47285245,1,0.000499646,0.000612018,0.000819286,0.001759434,-0.000301691,-9.815752,0,0,27.80706,1,1,760,800
6272,55:23.1,IMU,47325229,0,0.000723854,0.000664625,0.000626341,-0.001195321,0.000461289,-9.81691,0,0,27.80935,1,1,1000,1000
6273,55:23.1,IMU,47325229,1,0.000725014,0.000644452,0.000747086,-0.00226618,-0.0014394,-9.818,0,0,27.80935,1,1,760,800
6368,55:23.2,IMU,47365213,0,0.000681169,0.000649795,0.000623377,-0.001334005,-0.001829153,-9.81717,0,0,27.81164,1,1,1000,1000
6369,55:23.2,IMU,47365213,1,0.000586879,0.000639883,0.000495565,-0.00029885,1.745673E-05,-9.818067,0,0,27.81164,1,1,760,800
6424,55:23.2,IMU,47405197,0,0.000597692,0.000734859,0.000678676,-0.001197834,-0.001508788,-9.816574,0,0,27.81393,1,1,1000,1000
6425,55:23.2,IMU,47405197,1,0.000750787,0.000902812,0.000613543,-0.001731102,-0.001027287,-9.817083,0,0,27.81393,1,1,760,800
6520,55:23.2,IMU,47445181,0,0.00065046,0.000706557,0.000682693,-0.000430448,-0.00070259,-9.816519,0,0,27.81623,1,1,1000,1000
6521,55:23.2,IMU,47445181,1,0.00075771,0.000902709,0.000377491,0.000127897,-0.002806859,-9.818602,0,0,27.81623,1,1,760,800
6574,55:23.3,IMU,47485165,0,0.000678836,0.000556017,0.00072733,-0.0001522,0.000428811,-9.817734,0,0,27.81852,1,1,1000,1000
6575,55:23.3,IMU,47485165,1,0.000732531,0.000484738,0.000620811,-0.000270367,0.000382411,-9.817227,0,0,27.81852,1,1,760,800
6626,55:23.3,IMU,47525149,0,0.000623227,0.000652995,0.000727694,-0.001348937,-0.00120622,-9.816946,0,0,27.82081,1,1,1000,1000
6627,55:23.3,IMU,47525149,1,0.000800075,0.000696218,0.000387263,-0.001603154,-0.000902084,-9.819932,0,0,27.82081,1,1,760,800
6724,55:23.4,IMU,47565133,0,0.000628924,0.000664802,0.000665896,-0.000433509,-0.001997344,-9.817535,0,0,27.8231,1,1,1000,1000
6725,55:23.4,IMU,47565133,1,0.000742485,0.000687263,0.000490075,-0.001238059,-2.98E-05,-9.816564,0,0,27.8231,1,1,760,800
6779,55:23.4,IMU,47605117,0,0.000683802,0.000630168,0.000633782,-0.001009065,5.707017E-05,-9.818313,0,0,27.82539,1,1,1000,1000
6780,55:23.4,IMU,47605117,1,0.000698342,0.00064293,0.000673945,-0.000447775,-0.000574486,-9.815775,0,0,27.82539,1,1,760,800
6872,55:23.4,IMU,47645101,0,0.000652368,0.000612993,0.00074568,-0.001496461,-0.000719475,-9.817385,0,0,27.82768,1,1,1000,1000
6873,55:23.4,IMU,47645101,1,0.000561251,0.00056893,0.000725313,-0.001471506,-0.001771492,-9.81784,0,0,27.82768,1,1,760,800
6924,55:23.5,IMU,47685085,0,0.000696786,0.000636271,0.00062368,-0.000214012,-0.000328704,-9.817404,0,0,27.82997,1,1,1000,1000
6925,55:23.5,IMU,47685085,1,0.000596943,0.000555075,0.00056151,0.000189597,-0.001997028,-9.815831,0,0,27.82997,1,1,760,800
6977,55:23.5,IMU,47725069,0,0.000675559,0.000622556,0.000640906,-0.001197516,-0.000945889,-9.817085,0,0,27.83226,1,1,1000,1000
6978,55:23.5,IMU,47725069,1,0.000729476,0.000766951,0.000638888,-0.001804899,-0.002037763,-9.816643,0,0,27.83226,1,1,760,800
7072,55:23.6,IMU,47765053,0,0.000648705,0.000559451,0.000737392,-0.001044295,-0.000203857,-9.818608,0,0,27.8346,1,1,1000,1000
7073,55:23.6,IMU,47765053,1,0.00081215,0.000478188,0.000721605,-0.000933419,-0.002483964,-9.817231,0,0,27.8346,1,1,760,800
7126,55:23.6,IMU,47805037,0,0.000653555,0.000640749,0.000754373,-0.001166453,-0.001671484,-9.818482,0,0,27.83689,1,1,1000,1000
7127,55:23.6,IMU,47805037,1,0.000673594,0.000588246,0.000719206,-0.00026056,9.36156E-05,-9.816816,0,0,27.83689,1,1,760,800
7221,55:23.6,IMU,47845021,0,0.000659831,0.000662663,0.000688737,-0.000247573,0.000206439,-9.817678,0,0,27.83918,1,1,1000,1000
7222,55:23.6,IMU,47845021,1,0.000930481,0.000509382,0.000413937,-0.001038949,-0.001591059,-9.817488,0,0,27.83918,1,1,760,800
7273,55:23.7,IMU,47885005,0,0.00069005,0.000660201,0.000646844,-0.001309316,3.258165E-05,-9.817922,0,0,27.84147,1,1,1000,1000
7274,55:23.7,IMU,47885005,1,0.000698722,0.000544457,0.000736553,-0.000227747,-0.002022679,-9.821012,0,0,27.84147,1,1,760,800
7327,55:23.7,IMU,47924989,0,0.000630346,0.000632584,0.000653122,-0.000763786,0.000302767,-9.817378,0,0,27.8437,1,1,1000,1000
7328,55:23.7,IMU,47924989,1,0.000864781,0.000430105,0.000771277,-0.002395604,-0.000851405,-9.818432,0,0,27.8437,1,1,760,800
7421,55:23.8,IMU,47964973,0,0.000677711,0.000771502,0.000639608,-0.001300188,-0.002731167,-9.817172,0,0,27.84599,1,1,1000,1000
7422,55:23.8,IMU,47964973,1,0.000739954,0.000719999,0.00073756,-0.004199473,0.000352294,-9.814766,0,0,27.84599,1,1,760,800
7476,55:23.8,IMU,48004957,0,0.000680631,0.000613189,0.000691926,-0.001255236,-0.000492867,-9.81708,0,0,27.84827,1,1,1000,1000
7477,55:23.8,IMU,48004957,1,0.000633205,0.000608385,0.000473667,-0.002699882,-0.000694493,-9.815192,0,0,27.84827,1,1,760,800
7572,55:23.8,IMU,48044941,0,0.000630711,0.000634294,0.000692284,-0.001463122,-0.001375769,-9.817433,0,0,27.85056,1,1,1000,1000
7573,55:23.8,IMU,48044941,1,0.000765572,0.00041382,0.000691273,-0.001529859,0.000241321,-9.815641,0,0,27.85056,1,1,760,800
7625,55:23.9,IMU,48084925,0,0.000578582,0.000726228,0.000730085,-0.001297208,-0.000572888,-9.817221,0,0,27.85284,1,1,1000,1000
7626,55:23.9,IMU,48084925,1,0.00064062,0.000668316,0.000642649,-8.35E-05,-0.002659696,-9.816716,0,0,27.85284,1,1,760,800
7678,55:23.9,IMU,48124909,0,0.000719774,0.000674441,0.000692545,-0.001329366,-0.000298894,-9.817251,0,0,27.85513,1,1,1000,1000
7679,55:23.9,IMU,48124909,1,0.000886547,0.000318901,0.000772475,-0.001316557,-0.000836404,-9.819491,0,0,27.85513,1,1,760,800
7778,55:24.0,IMU,48164893,0,0.000647214,0.000678023,0.000642228,-0.000707676,-0.002659768,-9.817011,0,0,27.85742,1,1,1000,1000
7779,55:24.0,IMU,48164893,1,0.000593809,0.000474906,0.000855793,-0.001571756,-9.56E-05,-9.819063,0,0,27.85742,1,1,760,800
7832,55:24.0,IMU,48204877,0,0.000639438,0.000685104,0.000678072,-0.000579758,-0.000687796,-9.817373,0,0,27.8597,1,1,1000,1000
7833,55:24.0,IMU,48204877,1,0.000756809,0.000640424,0.000491993,-0.003063677,-0.003921445,-9.816767,0,0,27.8597,1,1,760,800
7931,55:24.0,IMU,48244861,0,0.000670343,0.00063846,0.00064469,-0.000907121,-0.000923058,-9.817087,0,0,27.86199,1,1,1000,1000
7932,55:24.0,IMU,48244861,1,0.000613573,0.000535301,0.00070924,-0.002250444,-0.001423688,-9.818862,0,0,27.86199,1,1,760,800
7983,55:24.1,IMU,48284845,0,0.000686503,0.00070553,0.000670846,-0.001844993,-0.001195786,-9.817347,0,0,27.86427,1,1,1000,1000
7984,55:24.1,IMU,48284845,1,0.000953472,0.000410065,0.000604958,0.000178794,0.000160282,-9.818068,0,0,27.86427,1,1,760,800
8035,55:24.1,IMU,48324829,0,0.000673981,0.000661989,0.00072011,-0.001230479,-0.001470555,-9.816328,0,0,27.86656,1,1,1000,1000
8036,55:24.1,IMU,48324829,1,0.000597283,0.000678504,0.000452418,0.00073121,-0.002950668,-9.817054,0,0,27.86656,1,1,760,800
8136,55:24.2,IMU,48364813,0,0.000673362,0.000637738,0.000663815,-0.000321277,-0.000862094,-9.817354,0,0,27.86884,1,1,1000,1000
8137,55:24.2,IMU,48364813,1,0.000694837,0.000629641,0.000765206,-0.002545244,0.001233904,-9.816484,0,0,27.86884,1,1,760,800
8192,55:24.2,IMU,48404797,0,0.000660738,0.000643838,0.000630163,-0.000980548,-0.001630926,-9.817659,0,0,27.87113,1,1,1000,1000
8193,55:24.2,IMU,48404797,1,0.000791845,0.000596552,0.000556539,-0.000811983,-0.000752142,-9.81838,0,0,27.87113,1,1,760,800
8293,55:24.2,IMU,48444781,0,0.00061389,0.000794716,0.000593513,-0.000539405,-0.000237207,-9.817832,0,0,27.87341,1,1,1000,1000
