,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
33034,55:38.0,GPS,62185116,0,6,168956000,2401,10,1.21,-35.3632619,149.1652375,593.97,0.024,216.113,-0.022,0,1
33389,55:38.2,GPS,62385036,0,6,168956200,2401,10,1.21,-35.3632619,149.1652374,593.97,0.021,227.3757,-0.024,0,1
33752,55:38.4,GPS,62584956,0,6,168956400,2401,10,1.21,-35.3632619,149.1652374,593.98,0.02,238.8931,-0.025,0,1
34009,55:38.5,GPS,62744892,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
34110,55:38.6,GPS,62784876,0,6,168956600,2401,10,1.21,-35.363262,149.1652373,593.98,0.019,249.4666,-0.026,0,1
34464,55:38.8,GPS,62984796,0,6,168956800,2401,10,1.21,-35.363262,149.1652373,593.99,0.018,258.3347,-0.026,0,1
34822,55:39.0,GPS,63184716,0,6,168957000,2401,10,1.21,-35.363262,149.1652373,594,0.018,265.6689,-0.027,0,1
35177,55:39.2,GPS,63384636,0,6,168957200,2401,10,1.21,-35.363262,149.1652372,594,0.017,272.3715,-0.027,0,1
35539,55:39.4,GPS,63585389,0,6,168957400,2401,10,1.21,-35.363262,149.1652372,594.01,0.017,278.6878,-0.026,0,1
35895,55:39.6,GPS,63785309,0,6,168957600,2401,10,1.21,-35.363262,149.1652372,594.01,0.016,284.4158,-0.023,0,1
36249,55:39.8,GPS,63985229,0,6,168957800,2401,10,1.21,-35.363262,149.1652371,594.02,0.014,289.6708,-0.021,0,1
36606,55:40.0,GPS,64185149,0,6,168958000,2401,10,1.21,-35.363262,149.165237,594.02,0.013,294.9252,-0.018,0,1
36962,55:40.2,GPS,64385069,0,6,168958200,2401,10,1.21,-35.363262,149.165237,594.02,0.012,300.6141,-0.015,0,1
37324,55:40.4,GPS,64584989,0,6,168958400,2401,10,1.21,-35.363262,149.165237,594.03,0.011,307.2487,-0.012,0,1
37679,55:40.6,GPS,64784909,0,6,168958600,2401,10,1.21,-35.363262,149.165237,594.03,0.009000001,316.0845,-0.01,0,1
38034,55:40.8,GPS,64984829,0,6,168958800,2401,10,1.21,-35.363262,149.165237,594.03,0.008,327.7556,-0.009000001,0,1
38391,55:41.0,GPS,65184749,0,6,168959000,2401,10,1.21,-35.363262,149.165237,594.03,0.006,340.4339,-0.01,0,1
38746,55:41.2,GPS,65384669,0,6,168959200,2401,10,1.21,-35.363262,149.165237,594.04,0.005,352.7643,-0.011,0,1
39108,55:41.4,GPS,65584589,0,6,168959400,2401,10,1.21,-35.363262,149.165237,594.04,0.005,5.01157,-0.013,0,1
39468,55:41.6,GPS,65785342,0,6,168959600,2401,10,1.21,-35.363262,149.165237,594.04,0.005,15.72082,-0.013,0,1
39826,55:41.8,GPS,65985262,0,6,168959800,2401,10,1.21,-35.3632619,149.165237,594.04,0.004,19.94775,-0.013,0,1
40183,55:42.0,GPS,66185182,0,6,168960000,2401,10,1.21,-35.3632619,149.165237,594.05,0.006,307.9425,-0.017,0,1
40538,55:42.2,GPS,66385102,0,6,168960200,2401,10,1.21,-35.3632619,149.165237,594.05,0.033,272.5876,-0.029,0,1
40900,55:42.4,GPS,66585022,0,6,168960400,2401,10,1.21,-35.3632619,149.1652368,594.06,0.09500001,268.1464,-0.054,0,1
41229,55:42.6,GPS,66764950,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
41257,55:42.6,GPS,66784942,0,6,168960600,2401,10,1.21,-35.3632619,149.1652365,594.07,0.192,267.1471,-0.09200001,0,1
41612,55:42.8,GPS,66984862,0,6,168960800,2401,10,1.21,-35.3632619,149.1652359,594.09,0.32,266.8299,-0.142,0,1
41969,55:43.0,GPS,67184782,0,6,168961000,2401,10,1.21,-35.3632619,149.1652351,594.13,0.477,266.6494,-0.204,0,1
42325,55:43.2,GPS,67384702,0,6,168961200,2401,10,1.21,-35.3632619,149.1652338,594.18,0.661,266.4342,-0.277,0,1
42687,55:43.4,GPS,67584622,0,6,168961400,2401,10,1.21,-35.363262,149.1652321,594.24,0.872,266.1307,-0.363,0,1
